#name,Babylon English-Korean
#version,2.4.2
#wordcount,68893
#synwordcount,61071
#idxfilesize,1256836
#author,Babylon Ltd.
#email,linguistic-support@babylon.com
#description,This comprehensive English-Korean dictionary contains words, phrases, abbreviations & acronyms. It includes terms from a vast variety of subjects, such as Medicine, Electronics, Zoology, Business, Computers, Religion, etc., and features both the American and British forms of spelling.
#sametypesequence,h
#sourceLang,English
#targetLang,Korean
#,n. 번호임을 나타내는 기호
%,n. 퍼센트를 나타내는 기호
&,n. 
behold,v. 보다, 관찰하다, 인지하다, 주시하다, 지켜보다
beholden,adj. 은혜를 입은, 신세를 진
beholder,n. 보는 사람, 구경꾼, 주시하는 사람
behoof,n. 이익
beige,n. 회색빛 노란색, 베이지색
Beijing,n. 베이징, 중국의 수도
Beilinson Hospital,베일링슨 병원, 이스라엘 페타흐 티크바에 있는 병원
being,n. 존재; 생물; 실제
being a few days old,n. 일천
being as on the right,n. 여우
being in good condition,n. 호조
being not the same,n. 틀림
being on watch,n. 당직
Beirut,n. 베이루트, 레바논의 수도
Beit Lid attack,1995년 이스라엘의 중앙에 있는 도시인 베이트 리드 교차로에서 일어난 폭탄테러
bejeweled,adj. 보석으로 장식한, 장식된, 박아 넣은
belabor,v. ...을 강하게 치다, 때리다, 욕하다
Belarus,n. 벨라루스
Belarussian,n. 벨라루씨아 사람
belated,adj. 늦어진, 때늦은, 시대에 뒤진, 길이 저문
belatedly,adv. 늦어지게
belatedness,n. 늦어짐
belay,v. 밧줄걸이 따위에 감아 매다
belay oneself,v. 밧줄걸이 따위에 감아 매다
belaying,n. 밧줄걸이 따위에 감아 매기
belaying pin,n. 밧줄걸이
belch,n. 분출, 분화 ( 연기의); 트림; v. 분출하다, 뿜어내다( 연기를); 트림하다
belch up,v. 내뿜다
belcher,n. 청백으로 얼룩지게 물들인 목도리
belching,n. 트림
beldam,n. 노파
beldame,n. 노파
beleaguer,v. 포위하다, 공격하다, 둘러싸다, ...에 끈덕지게 붙어다니다
Belfast,n. 벨파스트, 북아일랜드의 항구도시이며 수도
belfry,n. 종루, 종탑
Belgian,n. 벨기에 사람; adj. 벨기에 사람의, 벨기에 출신의
Belgium,n. 벨기에, 서유럽에 있는 나라
Belgrade,n. 벨그라드, 유고슬라비아의 수도
Belial,n. 사악, 타락한 천사의 하나
belie,v. 거짓으로 나타내다, 거짓으로 전하다, 저버리다, 배반하다, ...을 잘못 나타내다, ...을 잘못 전하다
belief,n. 신조, 견해; 믿음, 신앙
believable,adj. 믿을 만한, 신용할 만한
believably,adv. 믿을 수 있게, 믿을 만 하게
believe,v. 믿다, 신용하다, 존재를 믿다
believe in,...을 믿다, ...을 신뢰하다
believe it or not,믿거나 말거나
believe the whole hog,v. 모조리 믿다
believed him,그를 믿었다
believer,n. 믿는 사람, 신자
believing,n. 믿음, 신뢰
belittle,v. 얕잡아 보다; 헐뜯다, 경시하다; 비난하다
belittle oneself,v. 자기를 낮추다
bell,n. 종; 종소리
bell jar,n. 종형의 유리 그릇, 종형의 유리 뚜껑
bell pull,n. 종을 당기는 줄, 벨을 당기는 줄, 설렁줄
bell push,누름단추, 벨의 누름 단추
bell ringer,방울을 울리는 사람, 종을 치는 사람
bell ringing,n. 타종법
bell shaped,adj. 벨형의, 종형의
bell tent,종형 텐트
bell wether,n. 방울 달린 양, 주모자, 선도자, 인솔자, 방울 단 길잡이 숫양
belladonna,n. 벨라도나, 벨라도나제
bellboy,n. 보이
Bellcore,n. 벨 통신 연구 회사
belle,n. 미인, 가장 아름다운 여성, 가장 아름다운 소녀, 여자 이름
belle of the ball,무도회의 여왕
belles lettres,n. 순문학
bellflower,n. 초롱꽃속
bellhop,n. 보이
bellicose,adj. 호전적인, 다투기 좋아하는
bellicosity,n. 호전성
bellied,adj. 배가 불룩한; 배가...한
belligerence,n. 호전적인 태도, 공격적임; 적개심
belligerency,n. 교전상태, 호전성
belligerent,n. 교전국, 교전국자; adj. 호전적인, 공격적인; 적개심의
bellman,n. 종을 치는 사람, 종을 울리는 사람, 거리를 외치고 다니는 포고원, 보이, 잠수부의 조수
Bellow,n. 소 우는 소리, 울부짖는 소리; v. 큰소리로 울다; 울부짖다
bellow at,v. 호통치다
bellows,n. 풀무, 주름상자
Bellsouth,n. 벨사우스, 죠지아에 본사를 둔 미국의 회사, 정보통신사업과 대중매체회사를 소유한 세계적으로 주목받는 회사
belltower,n. 교회 따위의 종루, 종루
belly,n. 배, 위, 불룩한 부분, 식욕; v. 부풀다, 가득 채우다; 불룩 해지다; 불룩 튀어나오다
belly ache,복통
belly aching,n. 불평을 하기, 투덜거리기
belly dance,배꼽춤, 엉덩이를 흔들고 복부 근육을 움직이는 것을 주로 하는 중동지방에서 여성들에 의해 추어지는 유혹적인 춤
belly dancer,배꼽춤추는 사람
belly flop,adv. 배로 수면을 치는 자세로
belly fur,n. 벨 모피
belly landing,동체 착륙
belly laugh,n. 흥소
belly out,불룩하다, 불룩해지다
belly worship,n. 대식
bellyache,n. 복통
bellybutton,n. 배꼽
bellyful,n. 배 가득
belong,v. 속하다, ...의 것이다; 어울리다, 적합하다
belonging,n. 속함, 소속됨
belonging to,...의, ...에 속하는>
belongings,n. 소유물, 소지품
belongs to,...에 속하다
Belorussia,n. 벨로루시아, 동유럽 공화국, 1991년 독립을 획득한 전 소련 공화국
Belorussian,n. 동유럽에 위치한 벨로루시아의 언어; 벨로루시아 사람; adj. 벨로러시아의, 벨로러시아 사람의
beloved,n. 가장 사랑하는 이, 가장 사랑하는 사람; adj. 가장 사랑하는, 소중한
below,adv. 보다 아래에; ...보다 못한; prep. ...보다 아래에
below average,평균 이하의
below par,액면 가격 이하로
below the belt,반칙을 하다 ( 대개 상대방을 다치게 하려고 의도하고 고의적으로 행동할 때 사용됨)
below the line,일정한 표준에 이르지 않은
below the surface,표층 아래에, 상층 아래에; 빙산의 일각에 불과 하다
below the water,adv. 수면 아래에
below water,adv. 수면 아래에
belt,n. 띠, 벨트; 줄, 줄무늬; 지대; v. 띠를 감다, 벨트를 두르다; 후려치다, 때리다
belt highway,n. 환상도로
belt on,v. 차다
belt out,후려치다
belting,n. 때리기, 책찍질하기; 벨트, 벨트재료
beltway,n. 순환 도로
Belvedere,n. 전망대, 정자, 궁전의 미술관
bemoan,v. 슬퍼하다, 비탄하다
bemuse,v. 넋을 잃게 하다
bemused,adj. 넋을 잃게 한; 당황스러운, 혼란스러운
Ben Gurion,벤 구리온, 다비드 벤 구리온(1886-1973), 이스라엘의 초대 수상(1948-53); 이스라엘 국제 공항>
bench,n. 벤치;작업대; 판사석; v. 벤치를 놓다, 진열대에 진열하다, 착석시키다, 출전시키지 않고 보결로 돌리다, 밑으로부터 파다, 온실 안의 묘상에 심다
bench and bar,n. 법조계
bencher,n. 판사
benchmark,n. 수준 기표, 기준, 기준점
bend,n. 굽음, 만곡; 밧줄의 매듭; v. 구부리다; 의지를 굽히다, 굽히다; 방향을 돌리다; 기울다
bend down,구부러지다
bend forward,쏟다
bend over,되접어 꺾다, 구부려 휘다
bend the knee before,v. ...에게 굴종시키다
bend the knee to,v. ...에게 무릎꿇고 타원하다
bended,adj. 굽은; 휘어진; 곧지 않은, 똑바르지 않은(고어)
bender,n. 구부리는 사람, 구부리는 도구; 주흥, 술마시고 떠들기(속어)
bending,n. 휘기, 구부리기; 홰곡하기; 허리를 구부리기
beneath,adv. 바로 아래에
beneath someone's dignity,체면 깎이는 일이다
Benedick,n. 결혼한 사나이, 신혼 남자, 기혼 남자, 남자 이름, 베네딕토
Benedictine,adj. 베네딕토 파의; n. 베네딕토회 회원
benediction,n. 축복, 기도, 축도
benefaction,n. 천복
benefactor,n. 은혜를 베푸는 사람, 친절한 사람; 후원자, 기부자
benefactress,n. 은혜를 베푸는 사람의 여성형
benefice,n. 성직록, 성직록을 지급받는 성직
beneficence,n. 선행, 자선행위
beneficent,adj. 자선심이 풍부한, 인정이 있는, 선행을 하는
beneficial,adj. 유익한, 이익이 나는; 기뻐할 만한
beneficiary,n. 수익자, 성직록을 받는 사제, 급비생
benefit,n. 이득, 이익; 도움; 연금; v. ...의 이익이 되다; 유용하다
benefit performance,기부 흥행
benefits,n. 은혜
Benelux countries,베넬룩스 나라들
benevolence,n. 자비심, 친철함
benevolent,adj. 자애로운, 호의적인, 자선적인, 친절한, 박애의
benevolent government,n. 인정
benevolent institution,n. 제생회
benevolent person,n. 인자
benevolent society,n. 공제회
benevolently,adv. 인정 많게, 자비심 많게, 친절하게
Bengal,n. 벵골
bengalee,n. 벵골 사람
bengalese,adj. 벵골의; n. 벵골 사람
Bengali,n. 벵골 사람; adj. 벵골의
benighted,adj. 밤이 된, 길이 저문, 미개한, 문명이 뒤떨어진, 우매한
benign,adj. 인자한; 친절한, 유순한; 상냥한, 온화한; 호의적인
benignant,adj. 인자한, 유순한, 온화한
benignity,n. 인자, 온화, 은혜
benison,n. 축복
Benjamin,n. 벤야민, 야콥과 라헬의 가장 어린 아들(성경); 이스라엘의 12 지파 족속 중 하나; 남자 이름
bent,n. 경향, 성향; 성미; 기호, 좋아함; adj. 굽은; 마음이 쏠린; 정직하지 못한; 동성연애의
Benthamism,n. 공리설
Benthamite,n. 공리주의자
benumb,v. 감각을 잃게 하다, 얼게 하다, 마비시키다, 정신을 잃게 하다
Benz,n. 벤츠, 유럽차의 독점적인 상품명
Benzedrine,n. 벤제드린
benzene,n. 벤젠
benzin,n. 벤진, 연료, 무색의 휘발유, 산업용으로 사용되는 휘발유
benzine,n. 벤진, 연료, 무색의 휘발유, 산업용으로 사용되는 휘발유
benzol,n. 벤졸
benzole,n. 벤졸
bequeath,v. 유언으로 양도하다, 유증하다, 재산을 유언으로 남기다; 전하다, 양도하다
bequeathal,n. 수여, 양도; 유증, 유산
bequeathing,n. 유언으로 양도하기, 남기기, 전하기
bequest,n. 유증, 유물, 유산
berate,v. 호되게 꾸짖다, 야단치다
Berber,n. 베르베르 사람, 베르베르 말
berberry,n. 매자나무, 매자나무의 열매
bereave,v. 빼앗아가다; 빼앗기다, 잃게 하다
bereaved,adj. 잃은, 여읜
bereaved family,n. 잃은 가족
bereavement,n. 여읨, 사랑하는 사람이나 어떤 것을 여읨 (보통 죽음으로 인해)
bereft,adj. 잃은, 여읜
beret,n. 베레모
berg,n. 빙산, 산
Bergen,n. 베르겐, 노르웨이에 있는 도시; 남자 이름
Bergman,n. 버그만, 성
beri beri,n. 각기
Bering Sea,베링 해, 베링해
Bering Strait,베링 해협
Berkovich,n. 베르코비치, 성
Berkovitz,n. 베르코비츠, 성
Berlin,n. 베를린, 독일의 수도; 어빙 벌린(1888-1989), 그의 작품 ; n. 일종의 사륜 마차, 뜨개질용 털실
Berliner,n. 베를린 사람
Bermuda,n. 버뮤다, 북캐롤라이나의 대서양에 있는 제도
bermuda islands,버뮤다 섬들
Bermuda shorts,버뮤다
Bermuda Triangle,버뮤다 삼각수역
bermudas,n. 버뮤다 반바지
Bern,n. 베른
Bernard,n. 남자 이름, 성 베르나르
Bernese,adj. 베른의(스위스의 수도)
Bernoulli,n. 베르눌리, 과학자와 수학자들의 스위스 가족
berry,v. 장과가 열리다; n. 딸기과에 속하는 작을 열매;작은 과립 알갱이;커피콩
berrylike,adj. 딸기와 같은
berserk,adj. 광포한, 맹렬한, 미친, 통제할 수 없는
berserker,n. 용맹한 전사, 폭한
berth,n. 정박위치, 정박 거리, 정박 간격, 적당한 장소, 침대, 숙소, 지위; v. 정박시키다, 정박하다
Bertha,n. 여성복의 장식 깃, 여자 이름, 독일군의 거대한 대포, 뚱뚱한 여자
Bertolt,n. 베르톨트, 남자 이름
Beryl,n. 녹주석, 연한 청록색
beryllium,n. 베릴륨
beseech,v. 간청하다, 청하다, 원하다, 간원하다
beseech for,v. 탄원하다
beseechingly,adv. 애원하는 듯하게, 간청하는 듯하게
beset,v. 포위하다, 에워싸다, 막다, 밀어닥치다, 공격하다, 습격하다, 뒤따르다, 괴롭히다, 꾸미다, 장식하다, ...에 박아 넣다
beset by doubts,adj. 의혹의 상념에 사로잡히다
beside,prep. ...의 곁에
beside that,adv. 그것곁에
beside the mark,과녁을 벗어나서
beside the point,요점을 벗어난
beside the road,adv. 도로곁에
beside yourself,adv. 제 정신을 잃고
besides,adv. 그 외에, 게다가; prep. ...이외에도
besides that,adv. 그것외에
besiege,v. 포위하다, 포위 공격하다, 둘러싸다
besieger,n. 포위자, 포위군
besieging army,n. 포위군
besmear,v. 더럽히다, 더덕 바르다
besmirch,v. 더럽히다, 손상하다, 욕되게 하다
besmirched,adj. 더럽히는, 손상하는, 욕되게 하는
besom,n. 마당비, 대나무비
besot,v. 곤드레만드레로 취하게 하다, 혹해 빠지게 하다
besotted,adj. 곤드레만드레로 취한, 술취한; 정신이 없는, 멍한
bespatter,v. 튀기다, 욕설을 퍼붓다
bespeak,v. 미리 청하다, 미리 구하다, 예약하다, 맞추다, 주문하다, 나타내다, ...의 증거가 되다, 말을 걸다
bespectacled,adj. 안경을 쓴
bespoke,adj. 주문품의, 맞춤으로 한, 예약 주문품을 만드는, 예약 주문품을 파는
besprinkle,v. 눈이 후두두 오다, 비가 후두두 오다, 안개가 되어 내리다
best,n. 최고품; 최선; 호의; 나들이 옷, 가장좋은 옷; v. 앞지르다; adv. 제일잘, 가장잘
best before date,n. 날짜전
best before day,n. 요일전
best dressed,adj. 제일 좋은 옷을 입은
best man,신랑 들러리>Cirr.
best of all,adj. 제일 좋은
best part,의식용 보석, 가장 흥미로운 부분
best possible,adj. 죽을 정도로의
best seller,베스트셀러, 아주 많이 팔린 (특히 책 )
bestial,adj. 짐승 같은, 난폭한, 흉포한, 잔악무도한
bestiality,n. 짐승같은 짓; 동물과의 성교
bestiary,n. 동물 우화집
bestir,v. 분기하다, 노력하다, 활약하다
bestir oneself,v. 분기하다
bestow,v. 수여하다, 부여하다, 증여하다
bestow upon,v. 이용하다
bestowal,n. 증여, 선물; 수여
bestride,v. 걸터앉다, 걸터타다, 가랑이를 벌리고 걸터타다, 서다, 걸리다
bet,n. 내기; 도박; v. 내기를 하다; 도박하다
beta,n. 베타, 그리스 알파벳의 두번째 문자
beta ray,베타선
betake,v. ...로 가다, ...을 해보다, 열심히 ...에 경주하다
betake oneself,v. 전념하다
betatron,n. 베타트론
betel,n. 구장, 구장의 잎
betel nut,n. 빈랑의 열매, 빈랑자
Beth,n. 베스, 여자이름(엘리자베스에서 나옴)
bethink,v. 곰곰이 생각하다, 숙고하다, 생각해 내다, 생각나다, 생각하다
Bethlehem,n. 베들레헴, 예루살렘 근처의 도시, 예수가 탄생한 곳
betide,v. 일어나다, 생기다, 발생하다
betimes,adv. 마침 좋은 때에, 늦기 전에, 일찍, 얼마후, 곧
betoken,v. ...의 전조가 되다, 미리 알리다, 나타내다
beton arme,n. 철근콘크리트
betray,v. 배반하다, 속이다; 누설하다; (적에게) 건네주다
betray oneself,v. 무심코 본성을 드러내다, 무심코 비밀을 드러내다, 본색이 드러나다, 바탕이 드러나다
betrayal,n. 배반, 배신, 반역
betrayer,n. 매국노, 배신자
betroth,v. 약혼시키다
betrothal,n. 약혼, 약혼식
betrothed,adj. 정혼한, 정혼한 사이의, 약혼한, 약혼한 사이의
Betsy,n. 벳시, 여자이름
Bette,n. 베트, 여자 이름
better,n. 선호할 만한 것; v. 개량하다, 개선하다; adv. 보다 낫게
better hand,고수
better late than never,전혀 하지 않는 것보다 늦더라도 무엇을 하는 것이 낫다, 전혀 안하는 것보다 늦는게 낫다
better off,전보다 살림이 낫다, 전보다 형편이 낫다, 더 잘 살다
better oneself,보다 더좋은 지위를 얻다, 보다 더좋은 급료를 얻다, 출세하다
better part of,의태반
better than nothing,아무것도 없는 것 보단 조금이라도 있는게 낫다
betterment,n. 개량, 개선, 발전; 혁신, 개혁
betting,n. 내기, 도박
bettor,n. 내기하는 사람, 걸기하는 사람
between,adv. ~사이에; prep. 사이에; 가운데에서
between ourselves,우리끼리
between wind and water,물 닿는 곳에
between you and me,우리끼리만의 이야기지만=
bevel,n. 사각, 각도자; v. 사각을 만들다
beverage,n. 마실 것, 음료
bevy,n. 떼, 무리
bewail,v. 비탄하다
beware,v. 조심하다
beware of,v. 경계하다
bewilder,v. 당황하게 하다, 혼란스럽게하다
bewilderedly,adv. 혼란스럽게
bewilderingly,adv. 혼란스럽게, 어지럽게
bewilderment,n. 당황, 혼동, 난처함
bewitch,v. 요술을 걸다
bewitched,adj. 요술을 거는
bewitching,adj. 호리는, 마법을 거는, 요술을 거는
bewitchment,n. 매혹
bewray,v. 나타내다, 누설하다
bey,n. 지사
beyond,adv. 저편에; prep. ...을 지나서,...이상으로
